line_no,store_product_id,product_name,unit,category,system_eod_qty,physical_qty
1,SP-1001,Gordon's Gin 750ml,Each,Spirits - Gin,3,
2,SP-1002,Tanqueray Gin 750ml,Each,Spirits - Gin,1,
3,SP-1010,Smirnoff Vodka 750ml,Each,Spirits - Vodka,4,
4,SP-1011,Absolut Vodka 750ml,Each,Spirits - Vodka,2,
5,SP-1030,Havana Club 7yr Rum 750ml,Each,Spirits - Rum,2,
6,SP-1031,Havana Club 3yr Rum 750ml,Each,Spirits - Rum,3,
7,SP-1050,Jameson Whiskey 750ml,Each,Spirits - Whiskey,2,
8,SP-1051,Jack Daniel's 750ml,Each,Spirits - Whiskey,1,
9,WN-2001,Nederburg Chardonnay 750ml,Each,Wine - White,6,
10,WN-2002,Springfield Sauvignon Blanc 750ml,Each,Wine - White,5,
11,WN-2010,Kanonkop Pinotage 750ml,Each,Wine - Red,4,
12,WN-2011,Meerlust Merlot 750ml,Each,Wine - Red,3,
13,BR-3001,Castle Lager 340ml,Each,Beer,24,
14,BR-3002,Windhoek Lager 340ml,Each,Beer,18,
15,BR-3010,Savanna Dry 330ml,Each,Cider,12,
16,MX-4001,Angostura Bitters 200ml,Each,Bar Sundries,2,
17,MX-4002,Fresh Lime Juice 1L,l,Bar Sundries,1.5,
18,MX-4003,Simple Syrup 750ml,Each,Bar Sundries,3,
19,SD-5001,Coca-Cola 330ml,Each,Soft Drinks,30,
20,SD-5002,Tonic Water 200ml,Each,Soft Drinks,20,
